"Titolo","Anno","Piattaforma","Unità vendute"
"Pokémon Red/Green/Blue","1996","GB","31050000"
"Pokémon Yellow","1998","GB","14640000"
"Pokémon FireRed & LeafGreen","2004","GBA","12000000"
"Pokémon: Let's Go, Pikachu & Eevee","2018","Switch","15070000"
"Pokémon Gold & Silver","1999","GBC","23730000"
"Pokémon Crystal","2000","GBC","6390000"
"Pokémon HeartGold & SoulSilver","2009","DS","12720000"
"Pokémon Ruby & Sapphire","2002","GBA","16220000"
"Pokémon Emerald","2004","GBA","7060000"
"Pokémon Omega Ruby & Alpha Sapphire","2014","3DS","14600000"
"Pokémon Diamond & Pearl","2006","DS","17670000"
"Pokémon Platinum","2008","DS","7600000"
"Pokémon Brilliant Diamond & Shining Pearl","2021","Switch","15060000"
"Pokémon Black & White","2010","DS","15640000"
"Pokémon Black 2 & White 2","2012","DS","8520000"
"Pokémon X & Y","2013","3DS","16720000"
"Pokémon Sun & Moon","2016","3DS","16320000"
"Pokémon Ultra Sun & Ultra Moon","2017","3DS","9190000"
"Pokémon Sword & Shield","2019","Switch","26440000"
"Pokémon Legends: Arceus","2022","Switch","15000000"
"Pokémon Scarlet & Violet","2022","Switch","25690000"
