Posizione,ID_Giocatore,Nome_Giocatore,Nazionalità,Team_Pokémon
1,404,James Katsaros,Australia,"Amoonguss, Incineroar, Flutter Mane, Landorus, Tornadus, Single Strike Urshifu"
2,2835,YUXIANG WANG,China,"Incineroar, Hearthflame Mask Ogerpon, Flutter Mane, Rillaboom, Single Strike Urshifu, Raging Bolt"
3,2054,Ryan Hercus,Australia,"Dragonite, Ting-Lu, Chien-Pao, Gholdengo, Dondozo, Gouging Fire"
4,1449,Ben Madigan,Australia,"Hearthflame Mask Ogerpon, Female Indeedee, Iron Crown, Ursaluna, Regidrago, Gallade"
5,2836,MD Raad Chowdhury,N/A,"Amoonguss, Incineroar, Single Strike Urshifu, Ursaluna, Porygon2, Pelipper"
6,2837,Jude Gerard Lee Wei Cong,Singapore,"Iron Hands, Incineroar, Amoonguss, Wellspring Mask Ogerpon, Roaring Moon, Flutter Mane"
7,1874,Vivek Arunagiri,Australia,"Landorus, Porygon2, Gholdengo, Amoonguss, Roaring Moon, Incineroar"
8,142,Luke Iuele,Australia,"Single Strike Urshifu, Regidrago, Rillaboom, Gholdengo, Tornadus, Hearthflame Mask Ogerpon"
9,1686,Masayoshi Kuroo,Japan,"Gouging Fire, Chien-Pao, Dragonite, Dondozo, Gholdengo, Ting-Lu"
10,3249,Marco Tziavas,Australia,"Raging Bolt, Great Tusk, Torkoal, Whimsicott, Flutter Mane, Venusaur"
11,2051,Kiran Singh,Australia,"Wellspring Mask Ogerpon, Flutter Mane, Incineroar, Roaring Moon, Raging Bolt, Amoonguss"
12,3085,Xicheng Pan,Australia,"Single Strike Urshifu, Landorus, Flutter Mane, Amoonguss, Pelipper, Archaludon"
13,1476,Lewis Tan,Australia,"Raging Bolt, Roaring Moon, Wellspring Mask Ogerpon, Amoonguss, Incineroar, Flutter Mane"
14,2060,Daniel Bennetts,Australia,"Grimmsnarl, Sinistcha, Iron Hands, Incineroar, Wellspring Mask Ogerpon, Porygon2"
15,3058,Toby Kongmun,Australia,"Landorus, Raging Bolt, Wellspring Mask Ogerpon, Entei, Single Strike Urshifu, Flutter Mane"
16,672,Daniel Walker,Australia,"Amoonguss, Single Strike Urshifu, Landorus Therian, Grimmsnarl, Archaludon, Pelipper"
17,1599,Peter Vowles,Australia,"Hatterene, Iron Hands, Single Strike Urshifu, Torkoal, Female Indeedee, Cornerstone Mask Ogerpon"
18,153,Diego Ferreira,Chile,"Ursaluna, Armarouge, Gallade, Female Indeedee, Landorus Therian, Torkoal"
19,848,Jackson Mayberry,Australia,"Archaludon, Incineroar, Pelipper, Landorus, Single Strike Urshifu, Amoonguss"
